sample_name,protocol,organism,read_type,data_source,SRR,SRX,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,gsm_id,Sample_supplementary_file_1,Sample_series_id,Sample_data_row_count,result_source
dat_1,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344340,SRX3441916,dat_1,GSM2875402,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,Adult mouse midbrain,Mus musculus,10090,batch: I,total RNA,smart-seq2,mDA_1,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875402,NONE,GSE107656,0,src
dat_2,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344341,SRX3441917,dat_2,GSM2875403,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,Adult mouse midbrain,Mus musculus,10090,batch: I,total RNA,smart-seq2,mDA_2,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875403,NONE,GSE107656,0,src
dat_3,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344342,SRX3441918,dat_3,GSM2875404,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,Adult mouse midbrain,Mus musculus,10090,batch: I,total RNA,smart-seq2,mDA_3,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875404,NONE,GSE107656,0,src
dat_4,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344343,SRX3441919,dat_4,GSM2875405,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,Adult mouse midbrain,Mus musculus,10090,batch: I,total RNA,smart-seq2,mDA_4,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875405,NONE,GSE107656,0,src
ser_1,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344344,SRX3441920,ser_1,GSM2875406,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Adult mouse brainstem, raphe nuclei",Mus musculus,10090,batch: I,total RNA,smart-seq2,SER_1,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875406,NONE,GSE107656,0,src
ser_2,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344345,SRX3441921,ser_2,GSM2875407,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Adult mouse brainstem, raphe nuclei",Mus musculus,10090,batch: I,total RNA,smart-seq2,SER_2,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875407,NONE,GSE107656,0,src
ser_3,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344346,SRX3441922,ser_3,GSM2875408,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Adult mouse brainstem, raphe nuclei",Mus musculus,10090,batch: I,total RNA,smart-seq2,SER_3,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875408,NONE,GSE107656,0,src
sox_1,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344347,SRX3441923,sox_1,GSM2875409,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Developing mouse brain, E11.5",Mus musculus,10090,batch: I,total RNA,smart-seq2,NPC_1,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875409,NONE,GSE107656,0,src
sox_2,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344348,SRX3441924,sox_2,GSM2875410,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Developing mouse brain, E11.5",Mus musculus,10090,batch: I,total RNA,smart-seq2,NPC_2,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875410,NONE,GSE107656,0,src
sox_3,rnaKallisto,Mus musculus,SINGLE,SRA,SRR6344349,SRX3441925,sox_3,GSM2875411,Public on Jan 25 2018,Dec 04 2017,Jan 25 2018,SRA,1,"Developing mouse brain, E11.5",Mus musculus,10090,batch: I,total RNA,smart-seq2,NPC_3,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,GPL13112,"Markus,,Ringner",markus.ringner@scilifelab.se,Lund University,Sölvegatan 37,Lund,22381,Sweden,Illumina HiSeq 2000,rnaKallisto,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM2875411,NONE,GSE107656,0,src
