Sample_library_selection,Sample_contact_institute,protocol,sample_name,Sample_description,Sample_source_name_ch1,Sample_type,gsm_id,SRR,Sample_molecule_ch1,Sample_platform_id,data_source,Sample_status,Sample_title,read_type,SRX,Sample_data_row_count,Sample_extract_protocol_ch1,Sample_contact_address,Sample_organism_ch1,Sample_relation,Sample_contact_zip/postal_code,Sample_last_update_date,Sample_contact_country,Sample_library_strategy,Sample_characteristics_ch1,Sample_geo_accession,Sample_channel_count,Sample_library_source,organism,Sample_supplementary_file_1,Sample_instrument_model,Sample_taxid_ch1,Sample_contact_email,Sample_data_processing,Sample_contact_name,Sample_contact_city,Sample_series_id,Sample_submission_date
cDNA,Lund University,rnaKallisto,dat_1,mDA_1,Adult mouse midbrain,SRA,GSM2875402,SRR6344340,total RNA,GPL13112,BAM,Public on Jan 25 2018,dat_1,SINGLE,SRX3441916,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875402,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,dat_2,mDA_2,Adult mouse midbrain,SRA,GSM2875403,SRR6344341,total RNA,GPL13112,BAM,Public on Jan 25 2018,dat_2,SINGLE,SRX3441917,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875403,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,dat_3,mDA_3,Adult mouse midbrain,SRA,GSM2875404,SRR6344342,total RNA,GPL13112,BAM,Public on Jan 25 2018,dat_3,SINGLE,SRX3441918,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875404,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,dat_4,mDA_4,Adult mouse midbrain,SRA,GSM2875405,SRR6344343,total RNA,GPL13112,BAM,Public on Jan 25 2018,dat_4,SINGLE,SRX3441919,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875405,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,ser_1,SER_1,"Adult mouse brainstem, raphe nuclei",SRA,GSM2875406,SRR6344344,total RNA,GPL13112,BAM,Public on Jan 25 2018,ser_1,SINGLE,SRX3441920,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875406,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,ser_2,SER_2,"Adult mouse brainstem, raphe nuclei",SRA,GSM2875407,SRR6344345,total RNA,GPL13112,BAM,Public on Jan 25 2018,ser_2,SINGLE,SRX3441921,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875407,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,ser_3,SER_3,"Adult mouse brainstem, raphe nuclei",SRA,GSM2875408,SRR6344346,total RNA,GPL13112,BAM,Public on Jan 25 2018,ser_3,SINGLE,SRX3441922,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875408,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,sox_1,NPC_1,"Developing mouse brain, E11.5",SRA,GSM2875409,SRR6344347,total RNA,GPL13112,BAM,Public on Jan 25 2018,sox_1,SINGLE,SRX3441923,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875409,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,sox_2,NPC_2,"Developing mouse brain, E11.5",SRA,GSM2875410,SRR6344348,total RNA,GPL13112,BAM,Public on Jan 25 2018,sox_2,SINGLE,SRX3441924,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875410,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
cDNA,Lund University,rnaKallisto,sox_3,NPC_3,"Developing mouse brain, E11.5",SRA,GSM2875411,SRR6344349,total RNA,GPL13112,BAM,Public on Jan 25 2018,sox_3,SINGLE,SRX3441925,0,smart-seq2,Sölvegatan 37,Mus musculus,SRA: https://www.ncbi.nlm.nih.gov/sra?term,22381,Jan 25 2018,Sweden,RNA-Seq,batch: I,GSM2875411,1,transcriptomic,Mus musculus,NONE,Illumina HiSeq 2000,10090,markus.ringner@scilifelab.se,Supplementary_files_format_and_content: one .csv file containing mapped reads per gene for 10 libraries,"Markus,,Ringner",Lund,GSE107656,Dec 04 2017
